ID,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,type
R0001,8.6,0.315,0.4,2.2,0.079,3,6,0.99512,3.27,0.67,11.9,6,red
R0002,12.2,0.45,0.49,1.4,0.075,3,6,0.9969,3.13,0.63,10.4,5,red
R0003,12.2,0.45,0.49,1.4,0.075,3,6,0.9969,3.13,0.63,10.4,5,red
R0004,6.9,0.39,0.24,2.1,0.102,4,7,0.99462,3.44,0.58,11.4,4,red
R0005,9.8,0.34,0.39,1.4,0.066,3,7,0.9947,3.19,0.55,11.4,7,red
R0006,8,0.58,0.16,2,0.12,3,7,0.99454,3.22,0.58,11.2,6,red
R0007,8,0.6,0.08,2.6,0.056,3,7,0.99286,3.22,0.37,13,5,red
R0008,7.9,0.885,0.03,1.8,0.058,4,8,0.9972,3.36,0.33,9.1,4,red
R0009,7.5,0.27,0.34,2.3,0.05,4,8,0.9951,3.4,0.64,11,7,red
R0010,10,0.46,0.44,2.9,0.065,4,8,0.99674,3.33,0.62,12.2,6,red
R0011,6.8,0.36,0.32,1.8,0.067,4,8,0.9928,3.36,0.55,12.8,7,red
R0012,6.8,0.36,0.32,1.8,0.067,4,8,0.9928,3.36,0.55,12.8,7,red
R0013,11.3,0.36,0.66,2.4,0.123,3,8,0.99642,3.2,0.53,11.9,6,red
R0014,11.3,0.36,0.66,2.4,0.123,3,8,0.99642,3.2,0.53,11.9,6,red
R0015,11.6,0.23,0.57,1.8,0.074,3,8,0.9981,3.14,0.7,9.9,6,red
R0016,9.9,0.32,0.56,2,0.073,3,8,0.99534,3.15,0.73,11.4,6,red
R0017,8.6,0.37,0.65,6.4,0.08,3,8,0.99817,3.27,0.58,11,5,red
R0018,8.6,0.37,0.65,6.4,0.08,3,8,0.99817,3.27,0.58,11,5,red
R0019,10.3,0.27,0.56,1.4,0.047,3,8,0.99471,3.16,0.51,11.8,6,red
R0020,6.6,0.61,0,1.6,0.069,4,8,0.99396,3.33,0.37,10.4,4,red
R0021,7,0.59,0,1.7,0.052,3,8,0.996,3.41,0.47,10.3,5,red
R0022,7.7,0.66,0.04,1.6,0.039,4,9,0.9962,3.4,0.47,9.4,5,red
R0023,7.5,0.685,0.07,2.5,0.058,5,9,0.99632,3.38,0.55,10.9,4,red
R0024,6.1,0.56,0,2.2,0.079,6,9,0.9948,3.59,0.54,11.5,6,red
R0025,9.1,0.28,0.46,9,0.114,3,9,0.99901,3.18,0.6,10.9,6,red
R0026,10.2,0.34,0.48,2.1,0.052,5,9,0.99458,3.2,0.69,12.1,7,red
R0027,7,0.51,0.09,2.1,0.062,4,9,0.99584,3.35,0.54,10.5,5,red
R0028,8.2,0.32,0.42,2.3,0.098,3,9,0.99506,3.27,0.55,12.3,6,red
